dep,title,gen,tenure,setting,nps.cat,variable,value
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Never
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,choosevirtual,Rarely
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,choosevirtual,Never
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,choosevirtual,Rarely
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,choosevirtual,Rarely
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,choosevirtual,Frequently
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,choosevirtual,Occasionally
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,choosevirtual,Never
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,choosevirtual,Rarely
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Never
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Never
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,choosevirtual,Frequently
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,choosevirtual,Rarely
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,choosevirtual,Rarely
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,choosevirtual,Rarely
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,choosevirtual,Occasionally
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Never
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Frequently
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,choosevirtual,Occasionally
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,choosevirtual,Frequently
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Frequently
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,choosevirtual,Frequently
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Never
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,choosevirtual,Occasionally
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,choosevirtual,Frequently
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Frequently
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,choosevirtual,Rarely
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,choosevirtual,Never
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,choosevirtual,Frequently
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,choosevirtual,Occasionally
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,choosevirtual,Frequently
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,choosevirtual,Rarely
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,choosevirtual,Rarely
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,choosevirtual,Frequently
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Frequently
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,choosevirtual,Frequently
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,choosevirtual,Occasionally
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,choosevirtual,Rarely
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,choosevirtual,Rarely
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,wfhnow,Less than once a week
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,wfhnow,Less than once a week
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,wfhnow,Less than once a week
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,wfhnow,Never
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,wfhnow,1 day a week
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,wfhnow,Never
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,wfhnow,1 day a week
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,wfhnow,Never
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,wfhnow,Less than once a week
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,wfhnow,Less than once a week
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,wfhnow,Less than once a week
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,wfhnow,Never
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,wfhnow,Never
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,wfhnow,Never
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,wfhnow,1 day a week
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,wfhnow,Never
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,wfhnow,Less than once a week
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,wfhnow,Never
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,wfhnow,2 days a week
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,wfhnow,Never
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,wfhnow,Less than once a week
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,wfhnow,2 days a week
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,wfhnow,Never
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,wfhnow,All the time
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,wfhnow,Never
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,wfhnow,Never
